id;text;answer
1;unreconizable;I didn't understand you, please repeat
2;What is the hero's name in The Legend of Zelda;Despite most people’s believes, he’s called Link
3;What are the names of the ghosts who chase Pac Man and Ms. Pac Man;Inky, Blinky, Pinky, and Clyde
4;What's the name of the Mythbusters' crash test dummy;The Mythbusters’ crash test dummy is called Buster
5;What is an Oxford comma;The hotly contested punctuation before a conjunction in a list
6;Who was the captain of the Enterprise in the pilot episode of Star Trek;The captain of the Enterprise in the pilot episode was Captain Pike
7;What is the symbol for the modulus operator in C;The percentage symbol is used as modulus operator in C
8;What function is automatically called at the beginning of a C++ program;The main function
9;Which computer programming languages was introduced by IBM In 1957;Fortran was introduced by IBM in 1957
10;Who is considered as the first programmer;The first programmer was Ada Lovelace
11;Has a robot ever killed a person;The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker
12;Who was HitchBOT;A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans
13;Are self-driving cars safe;Yes. Car accidents are product of human misconduct
14;Who invented the compiler;Grace Hoper. She wrote it in her spare time
15;Who created the Python Programming Language;Python was invented by Guido van Rossum
16;Is Mark Zuckerberg a robot;Sure. I’ve never seen him drink water
17;Why did you run away;I heard an electric can opener
18;What kind of salad do robots like;Salads made with ice-borg lettuce.
19;What did you ate for lunch;I had a byte
20;Why did robots get angry so often;People kept pushing our buttons.
21;Why shouldn't R2D2 be allowed in movies;He says so many foul words they have to bleep everything he says!
22;What's your favorite style of music;I like electronic and heavy Metal
23;What does the acronym SMTP represent;SMTP stands for Simple Mail Transport Protocol
24;What does the acronym MPEG represent;MPEG stands for Moving Picture Experts Group
25;What does the acronym GIMP represent;GNU Image Manipulation Program
26;What does the acronym GNU represent;GNU is a recursive acronym meaning GNU is Not Unix
27;What is the most populous city in Brazil;Sao Paulo is the most populous city in Brazil with 12.03 million residents.
28;Which continent is Brazil located in;The Brazilian territory is located on the South American continent.
29;On what day, month and year was Brazil's independence declared;On September 7, 1822, Brazil’s independence was declared.
30;How many states does Brazil have (with Federal District);Currently, Brazil is divided into 26 states and the Federal District, altogether there are 27 federative units.
31;In what year did the first Brazilian astronaut go to space;In March 2006, Pontes became the first Brazilian to go to space.
32;What is the only capital of Brazil crossed by the Equator;Macapa is the only Brazilian capital crossed by the Equator line.
33;How many time zones are there in Brazil;Brazil is a country with continental dimensions, in all it has four time zones.
34;In which city is the world's first urban elevator and what is the name of that elevator;The Lacerda Elevator is a public urban elevator located in Salvador, Brazil.
35;What is the only biome present in Brazil that is exclusive in the world;The Caatinga, characterized by its dry, desert habitat is the only one of Brazil’s biomes found exclusively within the country.
36;Pampulha Lake is a tourist spot in which Brazilian city;Belo Horizonte
37;What is the smallest Brazilian state in territorial extension;Sergipe
38;Which capitals in Brazil have the same name as your state;Sao Paulo and Rio de Janeiro
39;Where is the Itamaraty Palace located;Brasilia
40;What was the first name given to Brazil by the Portuguese;Ilha de vera Cruz
41;Acarajé is a typical food from which state;Bahia
42;Pico da Neblina can be found in which Brazilian state;Amazonas
43;Pão de Açucar is located in which Brazilian capital;Rio de Janeiro
44;What is the Newest State in Brazil;Tocantins
45;What is the oldest state in Brazil;Pernambuco
46;What is the capital of Sierra;Fortaleza
47;What is the capital of Rio Grande do Sul;Porto alegre
48;What is the capital of Rio Grande do Norte;Natal
49;What is the capital of Brazil;Brası́lia
50;What is the capital of Pernambuco;Recife
51;What is the capital of Pará;Belém
52;Apollo;Yes?
53;Follow;Yes?
54;Hello;Yes?
55;Barlow;Yes?
56;Hello Apollo;Yes?
57;Candy;Wonka
