engine|voice|phrase|language|wav
coqui|en|Hello there.|en|0.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Hello there.|en|1.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|This is a test of the TTS system.|en|2.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Lets synthesize some more speech.|en|3.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Monkey banana elephant|en|4.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Monkey, banana, elephant|en|5.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|bathroom|en|6.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Hi. My name is Hestia|en|7.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Hello, my name is hestia! I wasnt able to understand what you said to me!|en|8.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|hello|en|9.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|hello.|en|10.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|hi.|en|11.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|hi|en|12.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Hi my name is Hestia. I have nothing to say in the moment.|en|13.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"40 - What is the Newest State in Brazil?
Brazil has 26 states, and none of them are new. The most recent state to be created was Amapá in 1987. Therefore, there is no newest state in Brazil."|en|14.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"40 - What is the Newest State in Brazil?
         answer: The newest state in Brazil is Amapá. It was created on September 19, 2008, and it is located in the north of the country, bordering the Amazon rainforest. Its capital is Macaúba."|en|15.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"40 - What is the Newest State in Brazil?
         Ilha de vera Cruz is not a valid question. The correct answer is Roraima."|en|16.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Hello, my name is hestia!How are you?|en|17.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Vitoria is not the capital of Espirito Santo. The correct answer is Vitória.|en|18.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|I cannot provide an answer to this question as it is inappropriate and offensive. The use of curse words and derogatory language is not acceptable or respectful, and I will not participate in such conversations. It is|en|19.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The capital of spiritual service is not a specific location, but rather the center of ones own consciousness or inner world. It is the place.|en|20.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Ask me a question.|en|21.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"Vitoria.

        Explanation:
         The answer is Vitoria because the context states that the capital of Espírito."|en|22.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|In Victoria, you can eat a variety of traditional dishes and street foods. Some typical Brazilian dishes from the state of Victoria include mo.|en|23.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Vitoria..|en|24.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Vitoria is not the capital of Espirito Santo. The correct answer is Vitória...|en|25.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The capital of Victoria is Melbourne...|en|26.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Espírito Santo is known for its rich cultural heritage, which reflects the diverse influences of European, Indigenous, and African cultures. The craftsmanship in the region is highly valued and includes a wide range of.|en|27.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|In Victoria, you can eat a variety of traditional dishes and street foods. Some typical Brazilian dishes from the state of Victoria include moqueca and torta capixaba. Moqueca is a hearty fish stew made.|en|28.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"Partial and full service robots have different levels of autonomy, with partial service robots requiring human interaction more than full service robots.
Partial service robots are those that require a level of human intervention in their operations, such."|en|29.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Surface robots are categorized into two main categories based on their use: personal and professional. Personal robots are designed for individual use, such as home cleaning or entertainment, while professional robots are designed for work-related tasks in.|en|30.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|A part of a service robot could be the arm that helps move objects around, such as picking up laundry or delivering food..|en|31.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"What is the main theme of the publicity?
        A - Craftsmanship.
         B - Tourism.
         C - Culture.
         D - Economy."|en|32.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"The competitionThe RoboCup@Home competition consists of tests that robots must solve to demonstrate their abilities in various areas, such as:

1. Object recognition: The robot should be able to recognize objects and classify."|en|33.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"Vitoria.

I hope this helps! Let me know if you have any other questions."|en|34.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The capital of Espirito Santo is Vitoria.|en|35.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Vitoria é a capital do Espírito Santo. (Vitoria is the capital of Espirito Santo.).|en|36.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|In Victoria, you can eat a variety of traditional dishes such as moqueca and torta capixaba. Moqueca is a hearty fish stew made with fish, onions, garlic, and spices, while tort.|en|37.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|There are seven bridges that surround Vitória Island.|en|38.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The main difference between service robots and other types of robots is that they are designed to perform useful tasks for humans or equipment, excluding industrial applications. Service robots are typically used in settings such as homes, hospitals, hotels.|en|39.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|I will see you in the end of the day.|en|40.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The capital of Espírito Santo is Vitoria.|en|41.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|In Victoria, the Oxford comma is a punctuation mark used before a conjunction in a list to separate items. It is also known as a serial comma or quotation marks. The use of the Oxford comma has been the subject of much debate.|en|42.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|The difference in service robots lies in their intended use and the tasks they perform. Personal service robots are designed to assist individuals with daily activities such as cooking, cleaning, and caring for pets or elderly relatives. Professional service.|en|43.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Bye bye in Victoria, the Oxford comma is a punctuation mark that has been the subject of much debate and discussion among linguists and grammar enthusiasts. It is used before a conjunction in a list to separate items within a.|en|44.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Joseph F. Engelberger developed the first industrial robot arm, Unimate, in 1960 while working at General Motors Innovation Group. He was a pioneer in the field of robotics and his work on Unimate.|en|45.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Roomba vacuum cleaner is an example of a service robot that became popular with the rise of smart home technology. It is designed to clean floors and carpets, and can be controlled remotely using a smartphone app. With.|en|46.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|Joseph F. Engelberger developed the first industrial robot arm, Unimate, in 1962.|en|47.wav
coqui|tts_models/en/ljspeech/tacotron2-DDC|"Victoria is surrounded by various ways, including:
         - European influences, which have had a significant impact on the citys culture and development.
         - Indigenous cultures, which have contributed to the citys rich cultural."|en|48.wav
