id;text;answer
1;What is the hero's name in The Legend of Zelda;Despite most people’s believes, he’s called Link
2;What are the names of the ghosts who chase Pac Man and Ms. Pac Man;Inky, Blinky, Pinky, and Clyde
3;What's the name of the Mythbusters' crash test dummy;The Mythbusters’ crash test dummy is called Buster
4;What is an Oxford comma;The hotly contested punctuation before a conjunction in a list
5;Who was the captain of the Enterprise in the pilot episode of Star Trek;The captain of the Enterprise in the pilot episode was Captain Pike
6;What is the symbol for the modulus operator in C;The percentage symbol is used as modulus operator in C
7;What function is automatically called at the beginning of a C++ program;The main function
8;Which computer programming languages was introduced by IBM In 1957;Fortran was introduced by IBM in 1957
9;Who is considered as the first programmer;The first programmer was Ada Lovelace
10;Has a robot ever killed a person;The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker
11;Who was HitchBOT;A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans
12;Are self-driving cars safe;Yes. Car accidents are product of human misconduct
13;Who invented the compiler;Grace Hoper. She wrote it in her spare time
14;Who created the Python Programming Language;Python was invented by Guido van Rossum
15;Is Mark Zuckerberg a robot;Sure. I’ve never seen him drink water
16;Why did you run away;I heard an electric can opener
17;What kind of salad do robots like;Salads made with ice-borg lettuce.
18;What did you ate for lunch;I had a byte
19;Why did robots get angry so often;People kept pushing our buttons.
20;Why shouldn't R2D2 be allowed in movies;He says so many foul words they have to bleep everything he says!
21;What's your favorite style of music;I like electronic and heavy Metal
22;What does the acronym SMTP represent;SMTP stands for Simple Mail Transport Protocol
23;What does the acronym MPEG represent;MPEG stands for Moving Picture Experts Group
24;What does the acronym GIMP represent;GNU Image Manipulation Program
25;What does the acronym GNU represent;GNU is a recursive acronym meaning GNU is Not Unix
26;What is the most populous city in Brazil;Sao Paulo is the most populous city in Brazil with 12.03 million residents.
27;Which continent is Brazil located in;The Brazilian territory is located on the South American continent.
28;On what day, month and year was Brazil's independence declared;On September 7, 1822, Brazil’s independence was declared.
29;How many states does Brazil have (with Federal District);Currently, Brazil is divided into 26 states and the Federal District, altogether there are 27 federative units.
30;In what year did the first Brazilian astronaut go to space;In March 2006, Pontes became the first Brazilian to go to space.
31;What is the only capital of Brazil crossed by the Equator;Macapa is the only Brazilian capital crossed by the Equator line.
32;How many time zones are there in Brazil;Brazil is a country with continental dimensions, in all it has four time zones.
33;In which city is the world's first urban elevator and what is the name of that elevator;The Lacerda Elevator is a public urban elevator located in Salvador, Brazil.
34;What is the only biome present in Brazil that is exclusive in the world;The Caatinga, characterized by its dry, desert habitat is the only one of Brazil’s biomes found exclusively within the country.
35;Pampulha Lake is a tourist spot in which Brazilian city;Belo Horizonte
36;What is the smallest Brazilian state in territorial extension;Sergipe
37;Which capitals in Brazil have the same name as your state;Sao Paulo and Rio de Janeiro
38;Where is the Itamaraty Palace located;Brasilia
39;What was the first name given to Brazil by the Portuguese;Ilha de vera Cruz
40;Acarajé is a typical food from which state;Bahia
41;Pico da Neblina can be found in which Brazilian state;Amazonas
42;Pão de Açucar is located in which Brazilian capital;Rio de Janeiro
